vendor_name,vendor_code,COUNT,MEAN_of_TAT,STDEV_of_TAT
ELDEC AEROSPACE CORPORATION,08748,3,69.66666666666667,24.440403706431145
DIEHL AEROSPACE GMBH,D1347,3,85.0,0.0
TEST-SYSTEM-ENGINEEERING GMBH,C6235,1,34.0,NaN
KING NUTRONICS CORPORATION,13859,1,114.0,NaN
"IET LABS, INC.",62015,2,152.0,0.0
FLUKE CALIBRATION,96116,1,46.0,NaN
CHELL INSTRUMENTS LTD,U7328,18,56.888888888888886,21.02348515600054
HONEYWELL INTERNATIONAL INC,07217,4,62.75,33.069371529155696
"PF FISHPOLE HOISTS, INC.",1YRX6,2,21.0,0.0
CHRISTIE DISTRIBUTION SERVICE,1WKR4,10,63.4,45.59288443508604
"THALES AVIONICS, INC.",3J0E6,2,106.0,15.556349186104045
BRISKHEAT PRODUCTS,90411,2,81.5,30.405591591021544
,OPEN,20,0.0,0.0
"BOEING DISTRIBUTION, INC",07068,5,4.6,5.813776741499453
"TECHNICAL MAINTENANCE, INC.",US0074,3,47.666666666666664,12.583057392117917
ATLANTIC SCALE CO INC,0GB80,1,14.0,NaN
UMT CALIBRATION LABORATORY,US0962,1031,59.35693501454898,121.7263309977326
"KEYSIGHT TECHNOLOGIES, INC.",1LQK8,25,52.88,49.85422081763322
GE AVIATION CTS,US0043,1,33.0,NaN
SAFRAN LANDING SYSTEMS,FR0012,3,194.66666666666666,62.06716791777544
"HYDRO-TEST PRODUCTS, INC.",56043,2,52.0,32.526911934581186
DELTA INTERNATIONAL INC.,0X5T5,128,171.7421875,304.93167547852056
MISCO REFRACTOMETER,5BWA7,17,28.58823529411765,16.841388094250913
OPUS METROLOGY LTD,GB0009,2,114.0,0.0
NORBAR TORQUE TOOLS LTD,K7951,9,94.22222222222223,99.01739465591106
APS AIRPARTS SUPPORT INC,3DJ54,1,35.0,NaN
"APB WINGLETS COMPANY, LLC",3F4Z0,8,9.625,6.523309852258394
INDUSTRIAL AUTOMATION INC,053H3,7,103.71428571428571,73.26598639139968
BOEING DISTRIBUTION SERVICES INC,2N935,12,432.5,254.23879254819403
GENERAL ELECTRO DYNAMICS CORP.,06433,17,80.70588235294117,60.31973630774005
QUALITY AIRCRAFT TOOLING INC,52303,1,47.0,NaN
DRUCK LIMITED,U0427,1,19.0,NaN
"DEDIENNE AEROSPACE, LLC.",6T0E2,12,134.83333333333334,111.93328640784476
"TELEDYNE CONTROLS, LLC",98571,2,67.5,16.263455967290593
OLYMPUS AMERICA INC,1KY21,34,59.94117647058823,47.28760563888621
