Fe.contabilizaci줻;Centro de coste;N즡ero de cuenta;Denominaci줻;En moneda local centro de beneficio;Clave moneda ML CeBe;En moneda de la sociedad;Clave moneda moneda sociedad;Acreedor;Nombre del usuario;Fecha de documento;Texto;Documento compras;N� doc.refer.
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;78,48;USD;8515,00;ARS;204208;BJADMIN_LO;W;3224;R0145921;5005667263
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;75,00;USD;8137,50;ARS;405794;BJADMIN_LO;W;M22520/31-01;R1983621;5005667281
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;75,00;USD;8137,50;ARS;405794;BJADMIN_LO;W;M309;R1985221;5005667282
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;75,00;USD;8137,50;ARS;405794;BJADMIN_LO;W;FT8;R1984521;5005667284
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;160,00;USD;17360,00;ARS;405794;BJADMIN_LO;W;TMA40-A;R1995221;5005667532
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;205,00;USD;22242,50;ARS;405628;BJADMIN_LO;W;HPE II BARCOL;R1889621;5005667534
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;205,00;USD;22242,50;ARS;405628;BJADMIN_LO;W;BARCOL;R1889521;5005667535
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;36,40;USD;3949,00;ARS;204208;BJADMIN_LO;W;448;R1049821;5005667536
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;235,00;USD;25497,50;ARS;406142;BJADMIN_LO;W;DLM-1000;R1749621;5005667705
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;115,00;USD;12477,50;ARS;406142;BJADMIN_LO;W;SAV486-04;R1873521;5005667706
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;115,00;USD;12477,50;ARS;406142;BJADMIN_LO;W;505056;R1874121;5005667707
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;167,90;USD;18217,00;ARS;204208;BJADMIN_LO;W;CMM-T;R1275721;5005667708
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;115,00;USD;12477,50;ARS;406142;BJADMIN_LO;W;505056;R1849421;5005667709
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;174,94;USD;18550,98;ARS;405804;BJADMIN_LO;W;SER2;R1751521;5005667720
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;67,69;USD;7344,60;ARS;206620;BJADMIN_LO;W;H2E;R1657421;5005667721
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;67,69;USD;7344,60;ARS;206620;BJADMIN_LO;W;H2E;R1666721;5005667722
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;67,69;USD;7344,60;ARS;206620;BJADMIN_LO;W;H2E;R1649021;5005667723
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;67,69;USD;7344,60;ARS;206620;BJADMIN_LO;W;H2E;R1648921;5005667724
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;67,69;USD;7344,60;ARS;206620;BJADMIN_LO;W;H2E;R1680821;5005667725
